timestamp,frame_idx,rep_count,angle
0.08,0,0,N/A
0.16,1,0,N/A
0.23,2,0,N/A
0.29,3,0,N/A
0.36,4,0,N/A
0.42,5,0,N/A
0.49,6,0,N/A
0.56,7,0,N/A
0.62,8,0,N/A
0.69,9,0,N/A
0.76,10,0,N/A
0.82,11,0,N/A
0.89,12,0,N/A
0.96,13,0,N/A
1.03,14,0,N/A
1.10,15,0,N/A
1.17,16,0,N/A
1.24,17,0,N/A
1.31,18,0,N/A
1.37,19,0,N/A
1.43,20,0,N/A
1.50,21,0,N/A
1.56,22,0,N/A
1.63,23,0,N/A
1.70,24,0,N/A
1.76,25,0,N/A
1.84,26,0,N/A
1.91,27,0,N/A
1.97,28,0,N/A
2.03,29,0,N/A
2.10,30,0,171.2
2.16,31,0,164.3
2.23,32,0,166.2
2.29,33,0,164.4
2.36,34,0,161.1
2.43,35,0,168.3
2.50,36,0,171.3
2.56,37,0,171.7
2.63,38,0,163.3
2.70,39,0,161.3
2.77,40,0,169.4
2.84,41,0,167.1
2.90,42,0,168.9
2.96,43,0,165.2
3.03,44,0,168.1
3.10,45,0,169.0
3.16,46,0,170.5
3.23,47,0,170.5
3.30,48,0,171.1
3.36,49,0,172.6
3.43,50,0,169.2
3.49,51,0,169.7
3.56,52,0,172.7
3.63,53,0,174.4
